Designator,Mid X,Mid Y,Rotation,Layer
A1,145.21,-75.705,0.0,top
C1,162.2,-65.3,180.0,top
C2,161.5,-61.0,0.0,top
C3,129.5,-55.5,180.0,top
D1,123.24,-104.4,270.0,top
D10,123.43,-157.5,270.0,top
D11,139.63,-139.6,270.0,top
D12,139.615,-157.1,270.0,top
D13,123.34,-148.8,270.0,top
D14,161.1,-105.825,180.0,top
D15,139.63,-148.4,270.0,top
D16,161.1,-123.73,180.0,top
D2,139.63,-104.3,270.0,top
D3,123.34,-113.4,270.0,top
D4,139.63,-113.2,270.0,top
D5,123.33,-122.3,270.0,top
D6,139.595,-122.0,270.0,top
D7,123.32,-131.2,270.0,top
D8,139.55,-130.7,270.0,top
D9,123.33,-140.0,270.0,top
J1,161.73,-52.0,270.0,top
J2,126.0,-52.0,270.0,top
R1,131.31,-104.6,180.0,top
R10,131.31,-125.6,0.0,top
R11,147.61,-122.3,180.0,top
R12,147.7,-125.3,0.0,top
R13,131.3,-131.5,180.0,top
R14,131.29,-134.55,0.0,top
R15,147.51,-131.0,180.0,top
R16,147.51,-134.0,0.0,top
R17,131.31,-140.3,180.0,top
R18,131.41,-157.8,180.0,top
R19,131.3,-143.3,0.0,top
R2,131.31,-107.6,0.0,top
R20,131.4,-160.8,0.0,top
R21,147.61,-139.9,180.0,top
R22,147.61,-157.4,180.0,top
R23,147.61,-142.9,0.0,top
R24,147.6,-160.4,0.0,top
R25,131.31,-149.1,180.0,top
R26,160.8,-113.81,90.0,top
R27,131.31,-152.1,0.0,top
R28,157.75,-113.8,270.0,top
R29,147.61,-148.7,180.0,top
R3,147.71,-104.4,180.0,top
R30,160.7,-131.71,90.0,top
R31,147.61,-151.7,0.0,top
R32,157.7,-131.71,270.0,top
R33,122.0,-58.81,270.0,top
R34,125.0,-58.81,90.0,top
R4,147.71,-107.4,0.0,top
R5,131.31,-113.8,180.0,top
R6,131.31,-116.795,0.0,top
R7,147.61,-113.5,180.0,top
R8,147.61,-116.55,0.0,top
R9,131.31,-122.6,180.0,top
SW1,123.295,-108.0,90.0,top
SW10,123.47,-161.1,90.0,top
SW11,139.695,-143.2,90.0,top
SW12,139.68,-160.7,90.0,top
SW13,123.38,-152.4,90.0,top
SW14,157.5,-105.89,0.0,top
SW15,139.67,-152.0,90.0,top
SW16,157.5,-123.77,0.0,top
SW17,161.73,-56.0,90.0,top
SW2,139.67,-107.9,90.0,top
SW3,123.34,-117.0,90.0,top
SW4,139.67,-116.8,90.0,top
SW5,123.33,-125.9,90.0,top
SW6,139.66,-125.6,90.0,top
SW7,123.36,-134.8,90.0,top
SW8,139.59,-134.3,90.0,top
SW9,123.37,-143.6,90.0,top
